protein1,protein2,combined_score
9606.ENSP00000225831,9606.ENSP00000451040,577
9606.ENSP00000225831,9606.ENSP00000291547,422
9606.ENSP00000225831,9606.ENSP00000261799,530
9606.ENSP00000225831,9606.ENSP00000280357,881
9606.ENSP00000225831,9606.ENSP00000264664,622
9606.ENSP00000225831,9606.ENSP00000229795,635
9606.ENSP00000225831,9606.ENSP00000307235,431
9606.ENSP00000225831,9606.ENSP00000472467,996
9606.ENSP00000225831,9606.ENSP00000339191,650
9606.ENSP00000225831,9606.ENSP00000362795,998
9606.ENSP00000225831,9606.ENSP00000457421,670
9606.ENSP00000225831,9606.ENSP00000326737,497
9606.ENSP00000225831,9606.ENSP00000260356,742
9606.ENSP00000225831,9606.ENSP00000252804,657
9606.ENSP00000225831,9606.ENSP00000297494,628
9606.ENSP00000225831,9606.ENSP00000330393,445
9606.ENSP00000225831,9606.ENSP00000293379,600
9606.ENSP00000225831,9606.ENSP00000371067,602
9606.ENSP00000225831,9606.ENSP00000284240,690
9606.ENSP00000225831,9606.ENSP00000364898,452
9606.ENSP00000225831,9606.ENSP00000480791,462
9606.ENSP00000225831,9606.ENSP00000212015,575
9606.ENSP00000228837,9606.ENSP00000351209,718
9606.ENSP00000228837,9606.ENSP00000297904,515
9606.ENSP00000228837,9606.ENSP00000362680,517
9606.ENSP00000228837,9606.ENSP00000360266,481
9606.ENSP00000228837,9606.ENSP00000263923,929
9606.ENSP00000228837,9606.ENSP00000297261,797
9606.ENSP00000228837,9606.ENSP00000352798,685
9606.ENSP00000228837,9606.ENSP00000265171,988
9606.ENSP00000228837,9606.ENSP00000346839,799
9606.ENSP00000228837,9606.ENSP00000356954,588
9606.ENSP00000228837,9606.ENSP00000262995,501
9606.ENSP00000228837,9606.ENSP00000495951,514
9606.ENSP00000228837,9606.ENSP00000451040,612
9606.ENSP00000228837,9606.ENSP00000261799,894
9606.ENSP00000228837,9606.ENSP00000274625,534
9606.ENSP00000228837,9606.ENSP00000225831,610
9606.ENSP00000228837,9606.ENSP00000369375,848
9606.ENSP00000228837,9606.ENSP00000437955,583
9606.ENSP00000228837,9606.ENSP00000457421,728
9606.ENSP00000228837,9606.ENSP00000326737,716
9606.ENSP00000228837,9606.ENSP00000361554,423
9606.ENSP00000228837,9606.ENSP00000264664,528
9606.ENSP00000228837,9606.ENSP00000463051,429
9606.ENSP00000228837,9606.ENSP00000363827,948
9606.ENSP00000228837,9606.ENSP00000284240,509
9606.ENSP00000228837,9606.ENSP00000317272,865
9606.ENSP00000228837,9606.ENSP00000480791,741
9606.ENSP00000228837,9606.ENSP00000401303,560
9606.ENSP00000228837,9606.ENSP00000393312,999
9606.ENSP00000228837,9606.ENSP00000263967,556
9606.ENSP00000228837,9606.ENSP00000260356,474
9606.ENSP00000228837,9606.ENSP00000252804,530
9606.ENSP00000228837,9606.ENSP00000297494,447
9606.ENSP00000228837,9606.ENSP00000245451,644
9606.ENSP00000228837,9606.ENSP00000257290,863
9606.ENSP00000228837,9606.ENSP00000219070,519
9606.ENSP00000228837,9606.ENSP00000410294,997
9606.ENSP00000228837,9606.ENSP00000269571,822
9606.ENSP00000228837,9606.ENSP00000428340,726
9606.ENSP00000228837,9606.ENSP00000288135,848
9606.ENSP00000228837,9606.ENSP00000447297,424
9606.ENSP00000228837,9606.ENSP00000404131,586
9606.ENSP00000228837,9606.ENSP00000498587,480
9606.ENSP00000228837,9606.ENSP00000312652,447
9606.ENSP00000228837,9606.ENSP00000261937,912
9606.ENSP00000228837,9606.ENSP00000264498,574
9606.ENSP00000228837,9606.ENSP00000495360,647
9606.ENSP00000228837,9606.ENSP00000223095,486
9606.ENSP00000228837,9606.ENSP00000265371,823
9606.ENSP00000228837,9606.ENSP00000379350,432
