adr_id,compound_id,source
C0020488,CHEMBL535,SIDER
C0020538,CHEMBL535,SIDER
C0020621,CHEMBL535,SIDER
C0022107,CHEMBL535,SIDER
C0027540,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0031542,CHEMBL535,SIDER
C0034065,CHEMBL535,SIDER
C0036104,CHEMBL535,SIDER
C0037036,CHEMBL535,SIDER
C0036572,CHEMBL535,SIDER
C0036974,CHEMBL535,SIDER
C0039231,CHEMBL535,SIDER
C0039971,CHEMBL535,SIDER
C0040046,CHEMBL535,SIDER
C0041657,CHEMBL535,SIDER
C0042487,CHEMBL535,SIDER
C0085631,CHEMBL535,SIDER
C0234233,CHEMBL535,SIDER
C0423153,CHEMBL535,SIDER
C0152227,CHEMBL535,SIDER
C0542203,CHEMBL535,SIDER
C0268000,CHEMBL535,SIDER
C0546817,CHEMBL535,SIDER
C1145670,CHEMBL535,SIDER
C2830004,CHEMBL535,SIDER
C0002871,CHEMBL535,SIDER
C0002884,CHEMBL535,SIDER
C0003460,CHEMBL535,SIDER
C0003578,CHEMBL535,SIDER
C0004093,CHEMBL535,SIDER
C0004604,CHEMBL535,SIDER
C0004690,CHEMBL535,SIDER
C0006277,CHEMBL535,SIDER
C0009450,CHEMBL535,SIDER
C0010200,CHEMBL535,SIDER
C0011991,CHEMBL535,SIDER
C0012691,CHEMBL535,SIDER
C0012739,CHEMBL535,SIDER
C0012833,CHEMBL535,SIDER
C0013395,CHEMBL535,SIDER
C0013491,CHEMBL535,SIDER
C0013604,CHEMBL535,SIDER
C0015230,CHEMBL535,SIDER
C0011603,CHEMBL535,SIDER
C0015967,CHEMBL535,SIDER
C0016059,CHEMBL535,SIDER
C0016382,CHEMBL535,SIDER
C0016658,CHEMBL535,SIDER
C0016655,CHEMBL535,SIDER
C0018681,CHEMBL535,SIDER
C0018790,CHEMBL535,SIDER
C0018802,CHEMBL535,SIDER
C0018944,CHEMBL535,SIDER
C0018965,CHEMBL535,SIDER
C0019080,CHEMBL535,SIDER
C0518015,CHEMBL535,SIDER
C0019294,CHEMBL535,SIDER
C0020433,CHEMBL535,SIDER
C0020440,CHEMBL535,SIDER
C0860713,CHEMBL535,SIDER
C0020443,CHEMBL535,SIDER
